iter	Logloss
0	0.6809571643
1	0.6690004533
2	0.6577413684
3	0.6474324164
4	0.6373508727
5	0.6298001013
6	0.620000251
7	0.6111754896
8	0.6038140508
9	0.5961786668
10	0.5899954823
11	0.5820081954
12	0.5756531237
13	0.5710896049
14	0.5639261501
15	0.5574761982
16	0.5528701354
17	0.5480743123
18	0.5411719682
19	0.5355949521
20	0.5305448633
21	0.5255401706
22	0.5206634426
23	0.5162189044
24	0.5121616827
25	0.5086980802
26	0.5046448514
27	0.5008295362
28	0.4975227998
29	0.4936661289
30	0.4903525474
31	0.4869227424
32	0.4828961334
33	0.4800364652
34	0.4771845452
35	0.4745753874
36	0.4719888562
37	0.4688842393
38	0.4669738009
39	0.4641251609
40	0.4618121946
41	0.4593732127
42	0.4568060284
43	0.4542772525
44	0.4514552797
45	0.4490522343
46	0.4467578543
47	0.4449347856
48	0.4430392256
49	0.4415856002
50	0.4394710458
51	0.4371773313
52	0.4354032237
53	0.4333807449
54	0.4316692412
55	0.429352282
56	0.4275534561
57	0.4250600464
58	0.4234113366
59	0.4222398324
60	0.4199324753
61	0.4179693204
62	0.4166510276
63	0.4148457845
64	0.4133686291
65	0.4118270161
66	0.4103018027
67	0.4086683042
68	0.4074456996
69	0.4060103277
70	0.4048369696
71	0.4035806626
72	0.4023303451
73	0.4009090435
74	0.3993467527
75	0.3978801026
76	0.3964193469
77	0.3950233816
78	0.393840873
79	0.3925405247
80	0.3913947845
81	0.3903383629
82	0.3888439048
83	0.3875375908
84	0.3864521728
85	0.3853246861
86	0.3841049812
87	0.3829454559
88	0.382068028
89	0.3811520728
90	0.3800994778
91	0.3786043304
92	0.377564047
93	0.3767623901
94	0.3753198166
95	0.3742566213
96	0.3732586442
97	0.3721325836
98	0.3712562252
99	0.3702291566
100	0.3691888257
101	0.3679867088
102	0.3669720706
103	0.3657800074
104	0.3647736641
105	0.3637189538
106	0.362768702
107	0.3616385059
108	0.3608164564
109	0.3598884274
110	0.35895265
111	0.3582054923
112	0.3572897748
113	0.3564475942
114	0.3553996814
115	0.3547139866
116	0.3536484383
117	0.3527103317
118	0.3518228501
119	0.3509005728
120	0.349711029
121	0.3489864979
122	0.3480053483
123	0.347264893
124	0.3465215855
125	0.3458780544
126	0.3451380745
127	0.3443016456
128	0.3435092344
129	0.3428552931
130	0.3419177094
131	0.3411254407
132	0.3406146516
133	0.3400349602
134	0.3393135903
135	0.3387128646
136	0.3379074049
137	0.3373078438
138	0.3365902529
139	0.3359268521
140	0.3352018933
141	0.3342503818
142	0.3333913975
143	0.3327781939
144	0.332254285
145	0.3316659185
146	0.3308931868
147	0.3300594674
148	0.3294050983
149	0.328887987
150	0.3283793132
151	0.3278762485
152	0.3272940377
153	0.3266324908
154	0.3259956146
155	0.3254242894
156	0.3248464044
157	0.3241134121
158	0.3236367294
159	0.322986781
160	0.3222991611
161	0.3218974176
162	0.3215162093
163	0.3210227467
164	0.3205142393
165	0.3200557626
166	0.319722446
167	0.3192576946
168	0.3188557135
169	0.3179254264
170	0.3173664604
171	0.3164648609
172	0.316073385
173	0.3154995404
174	0.3150057213
175	0.3142791938
176	0.3138543958
177	0.3131260857
178	0.3126863854
179	0.3121015602
180	0.3117587604
181	0.3112301455
182	0.3105842614
