iter	Passed	Remaining
0	87	87268
1	187	93684
2	265	88159
3	339	84551
4	419	83524
5	505	83786
6	590	83772
7	668	82942
8	742	81758
9	831	82327
10	927	83399
11	998	82238
12	1065	80933
13	1143	80515
14	1236	81228
15	1322	81352
16	1402	81095
17	1472	80349
18	1559	80531
19	1670	81852
20	1763	82227
21	1831	81435
22	1900	80722
23	1971	80160
24	2039	79536
25	2102	78761
26	2166	78062
27	2234	77566
28	2304	77169
29	2389	77250
30	2472	77271
31	2554	77283
32	2621	76820
33	2693	76533
34	2767	76314
35	2878	77067
36	2975	77434
37	3049	77208
38	3131	77170
39	3205	76932
40	3269	76464
41	3332	76023
42	3399	75667
43	3470	75396
44	3542	75180
45	3616	75008
46	3682	74664
47	3747	74317
48	3821	74166
49	3894	73986
50	3982	74099
51	4066	74143
52	4130	73809
53	4211	73775
54	4284	73622
55	4357	73452
56	4430	73301
57	4508	73231
58	4582	73079
59	4652	72887
60	4723	72707
61	4787	72436
62	4855	72222
63	4925	72030
64	4988	71759
65	5053	71511
66	5141	71595
67	5218	71528
68	5301	71529
69	5377	71443
70	5450	71321
71	5528	71251
72	5610	71245
73	5686	71160
74	5772	71197
75	5849	71112
76	5926	71046
77	6004	70975
78	6076	70837
79	6145	70669
80	6223	70612
81	6304	70584
82	6376	70447
83	6446	70301
84	6518	70170
85	6586	70001
86	6654	69834
87	6723	69681
88	6789	69493
89	6854	69303
90	6932	69248
91	7008	69166
92	7086	69113
93	7162	69038
94	7234	68920
95	7315	68890
96	7411	68993
97	7486	68910
98	7557	68779
99	7626	68642
100	7694	68488
101	7761	68330
102	7834	68227
103	7901	68072
104	7966	67903
105	8048	67879
106	8115	67731
107	8183	67585
108	8253	67466
109	8327	67375
110	8402	67297
111	8488	67305
112	8579	67345
113	8663	67333
114	8737	67243
115	8814	67171
116	8894	67123
117	8969	67044
118	9044	66959
119	9123	66904
120	9195	66798
121	9265	66684
122	9341	66604
123	9409	66470
124	9477	66345
125	9546	66217
126	9620	66133
127	9719	66215
128	9805	66205
129	9883	66140
130	9962	66087
131	10041	66029
132	10118	65962
133	10189	65850
134	10298	65985
135	10419	66195
136	10516	66244
137	10614	66304
138	10722	66418
139	10850	66650
140	10964	66797
141	11069	66882
142	11179	66996
143	11290	67118
144	11396	67201
145	11500	67271
146	11594	67280
147	11686	67277
148	11772	67239
149	11886	67358
150	11997	67458
151	12115	67589
152	12224	67672
153	12328	67728
154	12443	67838
155	12580	68063
156	12690	68141
157	12793	68175
158	12902	68245
159	13006	68285
160	13123	68387
161	13250	68541
162	13346	68535
163	13442	68524
164	13550	68571
165	13635	68504
166	13724	68460
167	13806	68375
168	13902	68361
169	13998	68345
170	14095	68333
171	14199	68356
172	14344	68570
173	14445	68575
174	14526	68483
175	14614	68420
176	14698	68345
177	14778	68247
178	14871	68208
179	14952	68118
180	15037	68044
181	15126	67984
182	15219	67945
183	15316	67923
184	15429	67974
185	15559	68094
186	15665	68108
187	15760	68070
188	15849	68008
189	15938	67948
190	16026	67882
191	16118	67832
192	16214	67799
193	16306	67747
194	16401	67708
195	16494	67660
196	16591	67630
197	16704	67660
198	16810	67662
199	16928	67713
200	17019	67655
201	17107	67583
202	17189	67486
203	17272	67395
204	17355	67304
205	17438	67212
206	17535	67176
207	17628	67123
208	17711	67033
209	17813	67013
210	17919	67008
211	18016	66967
212	18128	66980
213	18241	66999
214	18336	66950
215	18423	66869
216	18509	66788
217	18598	66715
218	18680	66616
219	18757	66503
220	18838	66404
221	18922	66315
222	19015	66257
223	19123	66248
224	19227	66228
225	19330	66204
226	19423	66143
227	19517	66085
228	19612	66031
229	19696	65941
230	19780	65848
231	19864	65758
232	19948	65667
233	20039	65598
234	20137	65555
235	20226	65479
236	20313	65397
237	20410	65347
238	20520	65338
239	20633	65340
240	20726	65276
241	20823	65222
242	20917	65164
243	21006	65085
244	21096	65011
245	21202	64986
246	21318	64991
247	21420	64951
248	21528	64932
249	21640	64920
250	21742	64881
251	21844	64840
252	21954	64821
253	22046	64751
254	22157	64735
255	22258	64689
256	22350	64616
257	22471	64627
258	22591	64633
259	22692	64585
260	22777	64491
261	22858	64388
262	22938	64279
263	23020	64178
264	23108	64093
265	23206	64035
266	23322	64029
267	23420	63968
268	23515	63901
269	23633	63899
270	23740	63863
271	23827	63773
272	23914	63684
273	23994	63575
274	24076	63475
275	24161	63379
276	24243	63277
277	24330	63188
278	24410	63081
279	24493	62982
280	24590	62919
281	24685	62850
282	24795	62820
283	24894	62763
284	24983	62677
285	25075	62601
286	25157	62498
287	25243	62407
288	25325	62307
289	25405	62199
290	25490	62105
291	25585	62037
292	25668	61936
293	25762	61864
294	25855	61790
295	25964	61752
296	26064	61695
297	26160	61627
298	26265	61578
299	26361	61509
300	26451	61427
301	26543	61349
302	26632	61263
303	26720	61177
304	26821	61116
305	26917	61047
306	26998	60944
307	27137	60971
